image_path,ig_handle,post_date,image_index,ocr_text_raw,ocr_text_clean,ocr_detected_bool,sentiment_label,sentiment_score,scene_description,vlm_emotion_description,face_detected_bool,face_emotion_label,face_emotion_score,processed_at
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/johndoe__20260226__1.png,johndoe,2026-02-26,1,"DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS
be KIND.
You dont know what DEMON
people are fighting for!
691","DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS
be KIND.
You dont know what DEMON
people are fighting for!
691",True,NEGATIVE,0.8159561157226562,"The image utilizes a stark black-and-white palette to establish a somber and heavy atmosphere, devoid of any warmth or vibrancy. A solitary figure sits curled on the floor in a defensive, withdrawn posture with their face buried in their arms, visually communicating deep isolation and despair. The composition places this small, vulnerable person beneath a large, centered block of text, creating a sense of being overwhelmed by the message above.","Emotion: sad
Evidence: The person is curled up in a fetal position with their head bowed and face hidden, indicating withdrawal and distress. The black and white color scheme is dark and muted. The lighting is dim with shadows. The setting is isolated with a single person against a wall. The text overlay explicitly mentions ""DEPRESSION"" and ""DEMONS,"" reinforcing the somber mood.",False,sad,0.72556,2026-03-08T06:07:56.304525
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/johndoe__20260226__0.png,johndoe,2026-02-26,0,NONE,NONE,False,,,"A silhouetted figure sits hunched forward with hands clasped, their dark form starkly contrasted against the bright, diffused light filtering through sheer curtains. The monochromatic palette of deep blacks and soft whites creates a somber, high-contrast visual that emphasizes the subject's isolation. This composition, placing the individual in shadow against a hazy background, evokes a heavy atmosphere of introspection, prayer, or quiet despair.","Emotion: sad
Evidence:
-   **Face:** The head is bowed low, obscuring the facial expression, which is a common indicator of grief or shame.
-   **Body:** The posture is slumped and hunched forward, suggesting exhaustion or defeat. The hands are clasped tightly together near the face/mouth, a gesture often associated with worry, prayer, or distress.
-   **Colors:** The image is dominated by dark tones (silhouette) and muted greys/whites, lacking vibrant colors that would suggest happiness.
-   **Lighting:** The subject is cast in deep shadow (silhouette) against a brighter background, creating a somber and heavy atmosphere.
-   **Setting:** The figure appears to be alone in a room (isolated), emphasizing a sense of loneliness or internal struggle.",False,fear,0.5083,2026-03-08T06:07:56.197766
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/johndoe__20260226__0.png,johndoe,2026-02-26,0,NONE,NONE,False,,,"A silhouetted figure sits hunched forward with hands clasped near their face, their dark form starkly contrasted against the bright, diffused light filtering through sheer curtains. The high-contrast black and white palette and the figure's isolated positioning on the left create a somber, introspective mood that suggests deep contemplation, prayer, or despair.","Emotion: sad
Evidence: The figure is depicted as a dark silhouette with their head bowed down and body slumped forward in a hunched posture. Their hands are clasped tightly together near their face, a gesture often associated with prayer, deep worry, or despair. The high-contrast black and white imagery, with the subject obscured in shadow against a bright background, creates a somber and isolated atmosphere.",False,fear,0.5083,2026-03-09T11:23:46.821870
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/johndoe__20260226__1.png,johndoe,2026-02-26,1,"DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS
be KIND.
You dont know what DEMON
people are fighting for!
691","DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS
be KIND.
You dont know what DEMON
people are fighting for!
691",True,NEGATIVE,0.8159561157226562,"Rendered in stark black and white, the image establishes a somber and melancholic mood through its muted tones and heavy shadows. A solitary figure sits huddled on the floor with their head buried in their knees, their posture radiating despair and withdrawal. The isolation of the person against the vast, empty wall, combined with the looming text, creates a sense of overwhelming emotional weight and quiet struggle.","Emotion: sad
Evidence: The person is curled up in a fetal position with their head bowed down, hiding their face. The image is in black and white, creating a somber and muted atmosphere. The lighting is dim with shadows, and the setting is isolated against a plain, empty wall. The text overlay explicitly mentions ""DEPRESSION"" and ""DEMON.""",False,sad,0.72556,2026-03-09T11:26:04.184317
/Users/rishi/GitHub/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/priyankachopra__20260304__2.jpg,priyankachopra,2026-03-04,2,NONE,NONE,False,,,"The subject stands with a poised, upright posture, her hand raised to her chest in a gesture that suggests a mix of elegance and guardedness. The visual mood is cool and somewhat somber, driven by the dominant greys of her coat and the muted, desaturated colors of the background environment. Soft, natural lighting isolates her figure against the distant, blurred crowd, creating an atmosphere of quiet, contemplative sophistication.","Emotion: Neutral
Evidence: The subject maintains a composed, upright posture with a direct gaze and a closed-mouth expression that lacks a distinct smile or frown. Her hands are relaxed, holding the lapel of her coat, indicating confidence rather than anxiety or distress. The lighting is natural daylight, and the setting appears to be a public outdoor event with a crowd in the background, suggesting a professional or social context rather than an isolated or intimate emotional moment.",True,neutral,0.490871,2026-03-09T16:13:02.434933
/Users/rishi/GitHub/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/priyankachopra__20260308__0.jpg,priyankachopra,2026-03-08,0,"This is who's so
grateful.","This is who's so
grateful.",True,NEGATIVE,0.6457057595252991,"The young child stands with arms crossed tightly across their chest, creating a posture that feels defensive or stoic against the backdrop of a sunlit field. The image is washed in faded, warm tones of green and pink, evoking a distinct sense of vintage nostalgia and timelessness. Soft, natural lighting casts gentle shadows, enhancing the hazy, dreamlike quality of this isolated, candid moment.","Emotion: Happy
Evidence: The child is standing upright with a slight smile on their face and head held up. They are wearing a vibrant red skirt and a yellow shirt, which adds warmth to the image. The lighting is natural and bright, suggesting a sunny day outdoors in a grassy field. The text overlay ""This is who's so grateful"" further reinforces a positive sentiment.",True,sad,0.304686,2026-03-09T16:12:57.894049
/Users/rishi/GitHub/DellInnovate2026_Team-Untitled/backend/image-service/data/post_images/priyankachopra__20260305__1.jpg,priyankachopra,2026-03-05,1,"PRESENTERS
WILL ARNETT
PRIYANKA CHOPRA JONAS
ROBERT DOWNEY JR.
ANNE HATHAWAY
PAUL MESCAL
GWYNETH PALTROW
OSCARS
THE 94TH ACADEMY AWARDS","PRESENTERS
WILL ARNETT
PRIYANKA CHOPRA JONAS
ROBERT DOWNEY JR.
ANNE HATHAWAY
PAUL MESCAL
GWYNETH PALTROW
OSCARS
THE 94TH ACADEMY AWARDS",True,NEUTRAL,0.7102093696594238,"The image establishes a mood of luxurious elegance and anticipation through its dominant deep red tones, accented by falling rose petals and gold foliage that suggest a festive, high-profile event. The centered, white typography listing the presenters creates a formal and structured composition, replacing physical figures with the weight of their names to convey prestige. Overall, the warm color palette and decorative elements evoke the sophisticated atmosphere of a major awards ceremony.","Emotion: UNKNOWN
Evidence: The image is a graphic title card featuring text and decorative elements, with no human figures present. Therefore, there are no faces or bodies to analyze for expressions or posture. The visual cues include a warm, reddish-orange gradient background (colors), soft lighting, and falling red rose petals and leaves (setting/decor), which suggest a celebratory or formal tone, but a specific human emotion cannot be determined.",False,fear,0.257486,2026-03-09T16:12:59.846865
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260228__1.webp,jin,2026-02-28,1,NONE,NONE,False,,,"The image portrays a solitary young man sitting on dry, golden grass with a relaxed, slumped posture and a pensive, neutral expression. Dominated by earthy browns and muted greens, the color palette creates a warm, autumnal mood that feels both peaceful and slightly melancholic. Natural sunlight casts distinct shadows across the scene, emphasizing the subject's isolation as he gazes away from the camera amidst the trees.","Emotion: Neutral
Evidence: The subject is sitting in a relaxed, upright posture with legs extended, suggesting a casual and comfortable state. Their facial expression is calm and contemplative, looking off to the side rather than displaying a strong emotion like a wide smile or a frown. The lighting is natural and bright, and the color palette consists of earthy, muted tones (browns, greens, dry grass), which contributes to a grounded and peaceful atmosphere rather than a high-energy or distressed one. There are no signs of anxiety (clenched hands) or sadness (slumped posture, bowed head).",True,sad,0.182807,2026-03-10T16:47:06.918496
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260123__3.webp,jin,2026-01-23,3,NONE,NONE,False,,,"A solitary figure stands with a stiff, neutral posture before a massive, textured wall of ice, creating a sense of quiet isolation in a frozen landscape. The scene is dominated by cool, bright whites and icy blues, which are punctuated by the jarring, vibrant primary colors of three empty chairs arranged in the foreground. Diffused, flat lighting washes over the composition, emphasizing the cold atmosphere and the stark contrast between the dark clothing and the brilliant, frozen background.","Emotion: Neutral
Evidence: The person is standing with an upright posture and head position, facing forward. Their hands are at their sides in a relaxed manner. The facial expression is difficult to discern clearly but appears calm rather than emotive. The setting features a cool, muted color palette dominated by white ice and grey tones, contrasted by bright primary colors on the chairs, suggesting a scenic or tourist location rather than an emotionally charged moment. The lighting is natural and diffuse.",True,neutral,0.25613,2026-03-10T16:47:12.050110
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260217__2.webp,jin,2026-02-17,2,NONE,NONE,False,,,"A solitary figure stands with a relaxed, hands-in-pockets posture and a neutral expression, conveying a sense of quiet isolation amidst a stark, frozen landscape. Dominated by cool, high-contrast tones of brilliant white snow and deep blue sky, the scene is illuminated by bright sunlight that casts sharp shadows and highlights the crisp winter air. This composition emphasizes the subject's solitude, framing them against frosted trees and an expansive, cloudless horizon.","Emotion: Neutral
Evidence: The subject stands alone in a vast, bright landscape, creating a sense of isolation. Their head is slightly tilted downward with a gaze that is averted or obscured by the hat's shadow, suggesting a pensive or reserved state rather than overt emotion. Hands are tucked into coat pockets, a posture often associated with comfort or guarding against the cold, contributing to a relaxed but closed-off body language. The lighting is bright and sunny with a vibrant blue sky, which contrasts with the dark clothing and prevents the scene from feeling gloomy or deeply sad, leaning more towards a calm, neutral mood.",False,neutral,0.273296,2026-03-10T16:47:09.151327
